      Star               S/N    ab(Cr)  [Cr/Fe]   ab(Mn)  [Mn/Fe]   ab(Co)  [Co/Fe]   ab(Ni)  [Ni/Fe]   ab(Zn)  [Zn/Fe]    ab(Y)   [Y/Fe]   ab(Zr)  [Zr/Fe]   ab(La)  [La/Fe]   ab(Ce)  [Ce/Fe]   ab(Nd)  [Nd/Fe]   ab(Sm)  [Sm/Fe]   ab(Eu)  [Eu/Fe]
        HE0005-0002       67      0.42    -2.15    -0.01    -2.31     0.83    -1.00     1.03    -2.13     2.00     0.49    -2.05    -1.19    -0.26     0.23    -1.65     0.27    -0.80     0.72    -1.28     0.31    -0.83     1.25    -2.36     0.23
        HE0008-3842       67     -0.07    -2.40    -0.48    -2.52     0.45    -1.12     0.40    -2.50     1.73     0.48    -2.50    -1.39    -0.79    -0.05    -2.25    -0.08    -1.37     0.39    -1.78     0.07    -1.30     1.03    -2.88    -0.04
        HE0017-4838       42      1.17    -1.26     0.89    -1.27     1.67    -0.02     1.79    -1.22     2.51     1.14    -1.20    -0.21     0.42     1.06    -0.94     1.13    -0.07     1.58    -0.54     1.20    -0.01     2.21    -1.61     1.11
        HE0018-1349       35      1.94    -1.46     1.67    -1.46     2.42    -0.24     2.63    -1.36     3.32     0.98     0.08     0.11     1.66     1.32     0.41     1.50     1.32     2.00     0.85     1.62     1.41     2.67    -0.34     1.42
        HE0023-4825       42      1.93    -1.68     1.65    -1.68     2.29    -0.57     2.48    -1.71     2.91     0.37    -0.41    -0.59     1.19     0.65     0.03     0.92     0.87     1.35     0.39     0.95     0.92     1.97    -0.89     0.66
        HE0029-1839       70      0.65    -2.52     0.34    -2.56     1.13    -1.29     1.39    -2.37     2.20     0.10    -1.63    -1.38     0.01    -0.10    -1.34    -0.02    -0.38     0.54    -0.87     0.13    -0.34     1.15    -2.00    -0.01
        HE0037-2657       69      0.73    -1.72     0.32    -1.85     1.22    -0.48     1.27    -1.76     2.20     0.82    -1.64    -0.66     0.09     0.71    -1.27     0.78    -0.46     1.19    -0.81     0.91    -0.39     1.83    -2.06     0.65
        HE0039-4154       70      0.41    -1.89     0.07    -1.94     0.82    -0.72     0.95    -1.93     1.98     0.75    -1.97    -0.84    -0.28     0.49    -1.71     0.50    -0.85     0.94    -1.30     0.57    -0.86     1.51    -2.37     0.50
        HE0043-2845       66      1.23    -1.53     1.00    -1.49     1.76    -0.25     1.95    -1.39     2.81     1.12    -0.55     0.11     1.06     1.36    -0.26     1.48     0.60     1.93     0.22     1.63     0.66     2.56    -1.00     1.40
        HE0044-2459       62      1.09    -1.30     0.81    -1.30     1.48    -0.16     1.73    -1.24     2.47     1.15    -1.19    -0.15     0.43     1.11    -0.80     1.31    -0.03     1.66    -0.43     1.34    -0.01     2.26    -1.55     1.22
        HE0044-4023       39      1.76    -1.35     1.42    -1.41     2.27    -0.09     2.48    -1.21     2.94     0.91    -0.49    -0.17     1.15     1.11    -0.29     1.11     0.66     1.64     0.33     1.39     0.78     2.33    -0.93     1.12
        HE0045-2430       59      1.30    -2.60     0.99    -2.64     1.81    -1.35     1.88    -2.60     2.64    -0.19    -0.77    -1.24     0.84     0.01    -0.50     0.10     0.34     0.53    -0.03     0.24     0.42     1.17    -1.22     0.04
        HE0049-5700       42      1.91    -1.36     1.81    -1.17     2.55     0.04     2.64    -1.20     3.11     0.92    -0.16     0.01     1.40     1.21     0.23     1.46     1.07     1.90     0.62     1.53     1.04     2.44    -0.58     1.32
        HE0051-2304       47      0.21    -3.04    -0.24    -3.22     0.65    -1.86     0.76    -3.07     2.01    -0.17    -2.20    -2.02    -0.39    -0.57    -1.82    -0.57    -0.83     0.00    -1.27    -0.35    -0.85     0.55    -2.59    -0.69
        HE0054-0657       32      2.12    -1.55     1.94    -1.45     2.67    -0.25     2.86    -1.39     3.26     0.66     0.11    -0.14     1.74     1.14     0.38     1.21     1.29     1.71     0.87     1.37     1.42     2.41    -0.26     1.23
        HE0057-4541       75      0.69    -2.67     0.38    -2.70     1.30    -1.31     1.35    -2.59     2.26    -0.02    -1.51    -1.43     0.15    -0.13    -1.21    -0.07    -0.35     0.38    -0.63     0.18    -0.28     1.02    -1.89    -0.08
        HE0104-4007       48      0.95    -1.42     0.68    -1.41     1.49    -0.13     1.62    -1.32     2.47     1.18    -1.25    -0.19     0.39     1.10    -0.90     1.23    -0.05     1.67    -0.39     1.41    -0.66     1.63    -1.69     1.10
        HE0104-5300       52      0.60    -1.65     0.25    -1.72     1.11    -0.39     1.23    -1.60     2.15     0.97    -1.89    -0.71    -0.14     0.68    -1.57     0.68    -0.75     1.09    -1.08     0.84    -0.64     1.78    -2.25     0.66
        HE0105-6141       66      0.93    -2.19     0.74    -2.10     1.45    -0.92     1.60    -2.10     2.43     0.38    -1.14    -0.83     0.40     0.35    -0.84     0.53    -0.00     0.97    -0.37     0.68     0.05     1.59    -1.56     0.48
        HE0109-0742       44      1.32    -1.82     1.04    -1.82     1.80    -0.59     1.87    -1.85     2.60     0.53    -1.30    -1.02     0.41     0.33    -0.92     0.43    -0.03     0.92    -0.55     0.48     0.02     1.54    -1.78     0.24
        HE0109-3711       17      2.80    -0.96     2.58    -0.90     3.30     0.29     3.46    -0.88     3.74     1.05     0.63     0.30     2.05     1.36     0.83     1.58     1.70     2.03     1.30     1.72     1.75     2.65     0.08     1.48
        HE0111-1454       82      0.24    -2.44    -0.14    -2.54     0.73    -1.20     0.81    -2.45     1.77     0.16    -2.30    -1.55    -0.59    -0.20    -2.00    -0.18    -1.13     0.28    -1.62    -0.13    -1.07     0.91    -2.67    -0.19
        HE0121-2826       46      0.85    -1.85     0.51    -1.91     1.23    -0.72     1.38    -1.90     2.39     0.76    -1.65    -0.92     0.20     0.57    -1.29     0.51    -0.30     1.09    -0.80     0.68    -0.32     1.64    -1.94     0.52
        HE0131-2740       28      1.69    -0.90     1.39    -0.92     2.18     0.33     2.27    -0.91     2.99     1.47    -0.48     0.36     1.07     1.54    -0.27     1.64     0.56     2.06     0.21     1.79    -0.12     1.94    -0.98     1.59
        HE0131-3953       52      1.79    -1.17     1.60    -1.08     2.33     0.12     2.52    -1.02     2.90     1.01    -0.34     0.13     0.97     1.08     0.05     1.59     0.81     1.94     0.44     1.65     0.96     2.66    -0.77     1.43
