      Star               S/N    ab(Cr)  [Cr/Fe]   ab(Mn)  [Mn/Fe]   ab(Co)  [Co/Fe]   ab(Ni)  [Ni/Fe]   ab(Zn)  [Zn/Fe]    ab(Y)   [Y/Fe]   ab(Zr)  [Zr/Fe]   ab(La)  [La/Fe]   ab(Ce)  [Ce/Fe]   ab(Nd)  [Nd/Fe]   ab(Sm)  [Sm/Fe]   ab(Eu)  [Eu/Fe]
        HE0938+0114      307      1.86    -1.31     1.62    -1.27     2.22    -0.20     2.48    -1.26     2.69     0.60    -0.35    -0.08     1.22     1.13     0.08     1.42     0.86     1.79     0.57     1.57     0.92     2.42    -0.80     1.20
        HE0951-1152       41      1.38    -1.67     1.05    -1.73     1.86    -0.45     2.13    -1.50     3.22     1.23    -0.37     0.01     1.41     1.42     0.02     1.47     0.89     1.93     0.58     1.70     0.95     2.56    -0.77     1.34
        HE1006-2218       65      2.48    -0.50     2.31    -0.39     2.96     0.73     3.19    -0.37     3.38     1.47     0.24     0.68     1.82     1.91     0.67     2.19     1.51     2.62     1.15     2.33     1.51     3.19    -0.17     2.01
        HE1015-0027       47      2.23    -0.78     2.13    -0.60     2.82     0.56     2.94    -0.65     3.35     1.41     0.02     0.44     1.64     1.70     0.57     2.06     1.25     2.32     0.94     2.10     1.40     3.05    -0.31     1.84
        HE1044-2509       51      1.17    -1.61     0.89    -1.61     1.65    -0.38     1.83    -1.54     2.64     0.93    -1.13    -0.48     0.66     0.95    -0.71     1.00     0.14     1.44    -0.23     1.15     0.22     2.10    -1.61     0.77
        HE1052-2548       93      2.22    -1.15     1.95    -1.14     2.70     0.08     2.84    -1.12     3.04     0.74    -0.13    -0.07     1.57     1.27     0.32     1.44     1.08     1.80     0.79     1.58     1.15     2.43    -0.46     1.32
        HE1054-0059       38      0.55    -1.78     0.21    -1.85     1.04    -0.55     1.13    -1.78     2.28     1.01    -1.96    -0.86    -0.21     0.53    -1.59     0.57    -0.81     0.95    -1.10     0.73    -0.72     1.60    -2.31     0.52
        HE1059-0118       49      1.42    -1.45     1.27    -1.31     1.93    -0.19     2.12    -1.32     2.98     1.19    -0.52     0.05     1.18     1.38    -0.10     1.54     0.78     2.00     0.36     1.67     0.75     2.55    -0.82     1.48
        HE1100-0137       50      2.01    -0.74     1.78    -0.70     2.48     0.48     2.69    -0.65     3.20     1.52    -0.16     0.52     1.45     1.77     0.25     2.00     1.13     2.47     0.71     2.13     1.03     2.94    -0.50     1.91
        HE1105+0027       43      2.22    -1.03     2.01    -0.95     2.72     0.22     2.83    -1.00     3.21     1.03    -0.25    -0.06     1.38     1.21     0.09     1.34     0.97     1.81     0.57     1.49     0.17     1.58    -0.61     1.30
        HE1120-0153      194      1.58    -1.32     1.35    -1.27     2.05    -0.10     2.28    -1.20     2.62     0.79    -0.83    -0.31     0.80     0.97    -0.35     1.24     0.53     1.72     0.18     1.44     0.55     2.31    -1.19     1.07
        HE1122-1429       44      1.84    -1.18     1.53    -1.21     2.23    -0.04     2.51    -1.09     3.01     1.06    -0.53    -0.12     1.14     1.19    -0.10     1.38     0.71     1.78     0.27     1.42    -0.09     1.55    -0.96     1.18
        HE1124-2335       48      1.06    -1.66     0.87    -1.57     1.54    -0.43     1.71    -1.59     2.57     0.92    -1.27    -0.56     0.45     0.80    -0.86     0.92    -0.08     1.29    -0.38     1.07     0.00     1.94    -1.52     0.92
        HE1126-1735       46      1.72    -1.27     1.37    -1.33     2.19    -0.05     2.28    -1.28     2.94     1.03    -0.72    -0.27     1.05     1.14    -0.19     1.32     0.61     1.72     0.18     1.37    -0.06     1.62    -0.98     1.19
        HE1127-1143       49      1.09    -1.85     0.90    -1.77     1.57    -0.62     1.75    -1.78     2.59     0.71    -1.24    -0.75     0.55     0.67    -0.86     0.70     0.03     1.17    -0.37     0.85     0.10     1.82    -1.59     0.62
        HE1128-0823       65      1.79    -1.17     1.55    -1.12     2.16    -0.05     2.45    -1.09     2.93     1.04    -0.59    -0.12     1.15     1.26    -0.18     1.36     0.72     1.85     0.31     1.52     0.68     2.38    -1.00     1.20
        HE1131+0141       45      1.20    -1.98     0.82    -2.08     1.69    -0.75     1.77    -2.00     2.68     0.57    -1.02    -0.78     0.60     0.49    -0.72     0.59     0.09     0.99    -0.14     0.85     0.25     1.73    -1.46     0.52
        HE1132+0125       50      1.63    -1.62     1.50    -1.47     2.13    -0.37     2.31    -1.52     2.94     0.76    -0.63    -0.45     1.04     0.86    -0.21     1.05     0.67     1.51     0.25     1.17     0.73     2.14    -1.01     0.90
        HE1132+0204       42      1.00    -2.12     0.61    -2.24     1.47    -0.90     1.54    -2.16     2.51     0.45    -1.45    -1.15     0.26     0.21    -1.07     0.30    -0.18     0.79    -0.59     0.46    -0.19     1.35    -1.76     0.28
        HE1135+0139       47      1.57    -1.77     1.40    -1.66     2.10    -0.49     2.21    -1.71     2.79     0.53    -1.24    -1.14     0.49     0.23    -0.80     0.36     0.01     0.76    -0.31     0.53     0.12     1.44    -1.54     0.29
        HE1135-0344       45      2.23    -0.81     2.01    -0.74     2.62     0.34     2.93    -0.69     3.30     1.34    -0.14     0.26     1.59     1.63     0.29     1.75     1.10     2.15     0.78     1.92     1.15     2.77    -0.55     1.57
        HE1148-0037       76      1.71    -0.49     1.56    -0.36     2.16     0.71     2.40    -0.38     2.95     1.82    -0.45     0.78     1.28     2.15    -0.05     2.25     0.75     2.64     0.44     2.41     0.92     3.38    -0.82     2.14
        HE1207-2031       50      2.15    -0.70     1.96    -0.61     2.65     0.55     2.85    -0.58     3.28     1.51    -0.05     0.53     1.58     1.80     0.39     2.04     1.18     2.42     0.96     2.28     1.24     3.05    -0.39     1.92
        HE1210+0048       49      1.95    -1.43     1.75    -1.35     2.44    -0.19     2.75    -1.22     3.12     0.81    -0.27    -0.22     1.18     0.87     0.06     1.17     0.94     1.64     0.54     1.33     0.20     1.47    -0.64     1.14
        HE1210-1956       50      1.69    -1.41     1.55    -1.27     2.18    -0.17     2.35    -1.33     2.93     0.90    -0.60    -0.27     1.06     1.03    -0.26     1.13     0.63     1.61     0.20     1.27     0.59     2.14    -1.02     1.04
        HE1212-0127       30      1.02    -2.49     0.69    -2.54     1.42    -1.34     1.67    -2.43     2.62     0.18    -1.51    -1.59     0.33    -0.12    -1.01    -0.02    -0.22     0.36    -0.59     0.06    -0.12     1.02    -1.85    -0.20
        HE1214-1819       53      0.77    -1.89     0.44    -1.94     1.24    -0.67     1.29    -1.95     2.28     0.69    -1.79    -1.02     0.06     0.47    -1.29     0.55    -0.51     0.93    -0.90     0.61    -0.42     1.58    -2.10     0.40
        HE1215+0149       35      1.10    -1.67     0.85    -1.64     1.64    -0.38     1.78    -1.57     2.55     0.85    -1.33    -0.67     0.43     0.73    -0.92     0.81    -0.01     1.31    -0.41     0.99     0.07     1.96    -1.64     0.75
        HE1217-0540       45      1.71    -1.01     1.39    -1.05     2.11     0.15     2.31    -0.99     3.07     1.42    -0.41     0.30     1.27     1.62    -0.01     1.78     0.89     2.26     0.56     2.01     0.96     2.90    -0.91     1.54
        HE1219-0312       46      1.00    -1.86     0.80    -1.78     1.59    -0.52     1.63    -1.81     2.54     0.75    -1.39    -0.82     0.35     0.56    -0.99     0.65    -0.10     1.13    -0.41     0.90    -0.12     1.68    -1.76     0.54
        HE1221-0522       44      1.82    -1.01     1.49    -1.06     2.22     0.13     2.40    -1.01     2.99     1.23    -0.39     0.21     1.27     1.51     0.03     1.70     0.82     2.08     0.58     1.92     0.88     2.71    -0.77     1.56
        HE1221-1948       57      2.03    -0.29     1.72    -0.31     2.49     0.92     2.61    -0.28     3.08     1.84    -0.30     0.82     1.33     2.08     0.13     2.32     0.81     2.59     0.51     2.36     0.97     3.32    -0.63     2.22
        HE1222-0200       45      1.28    -1.94     0.99    -1.95     1.66    -0.81     1.83    -1.97     2.67     0.52    -1.16    -0.95     0.66     0.51    -0.65     0.63     0.05     0.92    -0.24     0.71     0.23     1.66    -1.49     0.45
        HE1222-0336       46      2.03    -1.60     1.79    -1.56     2.51    -0.37     2.71    -1.50     3.21     0.65    -0.24    -0.44     1.49     0.93     0.20     1.07     1.10     1.56     0.76     1.30     1.16     2.19    -0.52     1.01
        HE1225+0155      100      0.27    -2.64     0.04    -2.60     0.75    -1.41     0.90    -2.60     1.94     0.10    -2.06    -1.54    -0.40    -0.25    -1.66    -0.08    -0.88     0.29    -1.27    -0.02    -0.88     0.86    -2.54    -0.29
        HE1225-0515       41      2.34    -1.38     2.13    -1.30     2.82    -0.14     3.02    -1.27     3.34     0.70    -0.04    -0.32     1.51     0.86     0.31     1.10     1.21     1.58     0.92     1.37     1.26     2.20    -0.47     0.98
        HE1230-1724       54      1.83    -1.54     1.69    -1.40     2.31    -0.31     2.60    -1.35     3.08     0.78    -0.39    -0.33     1.27     0.97     0.04     1.17     0.92     1.64     0.51     1.31     1.01     2.29    -0.72     1.07
        HE1237-3103       48      0.72    -2.05    -0.04    -2.52     1.24    -0.78     1.36    -1.98     2.28     0.58    -1.64    -0.97     0.01     0.32    -1.37     0.36    -0.55     0.78    -0.88     0.53    -0.44     1.46    -2.17     0.22
        HE1243-1425       50      1.51    -1.49     1.24    -1.48     1.98    -0.27     2.17    -1.41     2.82     0.89    -0.87    -0.44     0.91     0.98    -0.36     1.14     0.42     1.51     0.02     1.19     0.51     2.18    -1.20     0.96
        HE1245-1616       47      2.10    -0.59     1.90    -0.51     2.68     0.74     2.79    -0.49     3.23     1.61    -0.19     0.55     1.54     1.92     0.25     2.05     1.20     2.59     0.73     2.20     1.10     3.06    -0.57     1.90
        HE1246-1344       49      0.64    -1.63     0.33    -1.66     1.22    -0.30     1.25    -1.60     2.26     1.06    -1.84    -0.69    -0.12     0.68    -1.47     0.76    -0.60     1.22    -0.90     1.00    -0.51     1.88    -2.26     0.62
        HE1247-2114       54      0.77    -2.29     0.54    -2.23     1.24    -1.06     1.39    -2.24     2.25     0.26    -1.65    -1.28     0.08     0.10    -1.26     0.19    -0.47     0.57    -0.77     0.35    -0.30     1.31    -1.93     0.17
        HE1248-1800       43      1.20    -1.58     0.90    -1.60     1.66    -0.37     1.83    -1.53     2.69     0.98    -1.10    -0.44     0.61     0.90    -0.70     1.03     0.10     1.41    -0.21     1.18     0.17     2.05    -1.40     0.98
        HE1249-2932       56      0.48    -2.54     0.03    -2.70     0.97    -1.30     1.00    -2.59     2.11     0.16    -2.04    -1.62    -0.20    -0.14    -1.66    -0.17    -0.89     0.18    -1.18    -0.02    -0.71     0.93    -2.35    -0.21
        HE1249-3121       47      1.34    -1.09     1.08    -1.08     1.85     0.17     2.02    -0.99     2.77     1.41    -0.80     0.19     0.80     1.43    -0.41     1.65     0.37     2.02     0.08     1.81     0.45     2.68    -1.19     1.53
        HE1251-0104       53      0.97    -1.97     0.65    -2.01     1.35    -0.85     1.50    -2.02     2.33     0.46    -1.50    -1.01     0.22     0.35    -1.11     0.45    -0.22     0.93    -0.63     0.60    -0.25     1.47    -1.90     0.31
        HE1252+0044       44      1.29    -1.10     1.02    -1.09     1.67     0.03     1.83    -1.14     2.72     1.40    -1.07    -0.03     0.66     1.34    -0.58     1.54     0.22     1.92    -0.19     1.59     0.29     2.57    -1.46     1.31
        HE1252-0117       53      0.69    -2.09     0.34    -2.15     1.17    -0.86     1.19    -2.16     2.23     0.52    -1.87    -1.22    -0.04     0.25    -1.40     0.32    -0.63     0.69    -1.02     0.38    -0.54     1.34    -2.13     0.25
        HE1254+0009       54      0.69    -2.04     0.37    -2.08     1.09    -0.89     1.20    -2.10     2.24     0.58    -1.82    -1.12    -0.08     0.27    -1.34     0.43    -0.66     0.70    -0.95     0.49    -0.57     1.36    -2.19     0.25
        HE1256-0228       48      0.76    -2.84     0.38    -2.94     1.23    -1.62     1.27    -2.91     2.34    -0.19     -NaN     -NaN     0.11    -0.42    -1.35    -0.45    -0.46     0.03    -0.76    -0.19    -0.36     0.70    -2.16    -0.60
        HE1256-0651       44      2.12    -1.20     2.00    -1.03     2.69     0.12     2.89    -1.00     3.27     1.02    -0.06     0.06     1.59     1.35     0.38     1.56     1.17     1.95     0.86     1.71     0.41     1.75    -0.54     1.30
        HE1259-0621       44      1.84    -1.19     1.60    -1.14     2.32     0.04     2.42    -1.19     3.03     1.08    -0.51    -0.10     1.16     1.20    -0.09     1.39     0.79     1.85     0.39     1.53     0.95     2.59    -0.78     1.36
        HE1300+0157       56      1.32    -0.59     0.95    -0.68     1.70     0.54     1.89    -0.60     2.72     1.88    -0.97     0.55     0.72     1.89    -1.15     1.44     0.22     2.41     0.02     2.28     0.39     3.15    -1.38     1.87
        HE1300-0641       44      1.20    -1.33     0.93    -1.32     1.70    -0.08     1.87    -1.24     2.70     1.24    -1.05    -0.15     0.64     1.18    -0.67     1.30     0.11     1.67    -0.10     1.54     0.19     2.32    -1.36     1.27
        HE1300-0642       43      1.15    -1.49     0.76    -1.60     1.54    -0.35     1.79    -1.43     2.60     1.03    -1.23    -0.44     0.57     1.00    -0.85     1.01    -0.07     1.38    -0.27     1.26     0.11     2.13    -1.57     0.95
        HE1300-2201       52      2.21    -0.84     2.01    -0.77     2.67     0.37     2.90    -0.74     3.21     1.23     0.05     0.42     1.67     1.69     0.49     1.93     0.54     1.57     0.97     2.08     1.33     2.94    -0.38     1.72
        HE1300-2431       47      0.86    -1.55     0.58    -1.56     1.35    -0.31     1.50    -1.50     2.38     1.03    -1.51    -0.50     0.11     0.76    -1.12     0.96    -0.46     1.22    -0.65     1.10    -0.38     1.87    -2.00     0.75
        HE1305-0331       46      2.01    -0.40     1.90    -0.24     2.50     0.83     2.70    -0.30     3.29     1.94    -0.08     0.94     1.47     2.13     0.34     2.43     1.14     2.82    -0.05     1.71     1.20     3.44    -0.47     2.28
        HE1311-1412       56      0.60    -2.16     0.17    -2.31     0.99    -1.02     1.10    -2.24     2.13     0.44    -1.92    -1.26    -0.26     0.05    -1.62     0.11    -0.85     0.47    -1.04     0.36    -0.67     1.22    -2.39     0.01
        HE1314-3036       82      0.27    -2.41    -0.05    -2.45     0.76    -1.17     0.98    -2.29     1.96     0.35    -2.19    -1.44    -0.35     0.04    -1.82     0.00    -1.04     0.37    -1.23     0.26    -0.85     1.13    -2.59    -0.11
        HE1320-1339      291     -0.09    -2.98    -0.30    -2.91     0.47    -1.67     0.61    -2.86     1.45    -0.37    -2.55    -2.01    -0.78    -0.60    -2.12    -0.51    -1.44    -0.24    -1.65    -0.37    -1.36     0.41    -2.95    -0.68
        HE1330-0354       47      2.19    -1.19     2.00    -1.10     2.78     0.15     2.90    -1.06     3.28     0.97     0.01     0.06     1.54     1.23     0.35     1.47     1.22     1.93     0.83     1.62     1.29     2.57    -0.42     1.36
        HE1330-0607       41      1.10    -2.24     0.78    -2.27     1.49    -1.10     1.64    -2.28     2.55     0.28    -1.37    -1.27     0.44     0.17    -0.88     0.28    -0.10     0.65    -0.40     0.43    -0.02     1.30    -1.78     0.04
        HE1332-0309       38      1.17    -2.04     0.86    -2.07     1.55    -0.91     1.72    -2.07     2.60     0.46    -1.21    -0.99     0.53     0.39    -0.79     0.50    -0.02     0.86    -0.41     0.55     0.06     1.51    -1.62     0.33
        HE1333-0340       41      2.07    -0.96     1.94    -0.81     2.65     0.38     2.84    -0.76     3.26     1.30    -0.13     0.28     1.62     1.66     0.41     1.88     1.18     2.24     0.78     1.92     1.24     2.87    -0.49     1.64
        HE1335+0135       50      1.15    -2.05     0.78    -2.14     1.65    -0.80     1.72    -2.06     2.62     0.49    -1.16    -0.93     0.55     0.42    -0.76     0.54     0.03     0.92    -0.28     0.69     0.11     1.57    -1.51     0.45
        HE1337+0012      229      1.31    -0.92     1.12    -0.82     1.89     0.41     1.99    -0.81     2.38     1.23    -0.90     0.30     0.74     1.58    -0.86     1.41     0.41     2.27    -0.64     1.30     0.47     2.90    -1.15     1.78
        HE1337-0453       50      1.94    -1.39     1.63    -1.42     2.33    -0.25     2.52    -1.39     3.07     0.81    -0.50    -0.40     1.15     0.89     0.02     1.19     0.72     1.48     0.41     1.25     0.88     2.21    -0.86     0.97
        HE1343-0640       43      2.03    -1.73     1.83    -1.66     2.44    -0.58     2.75    -1.60     3.18     0.48    -0.16    -0.50     1.40     0.70     0.27     1.01     0.96     1.29     0.64     1.04     1.11     2.00    -0.58     0.82
        HE1345-0206       34      0.97    -1.88     0.66    -1.91     1.54    -0.56     1.60    -1.83     2.57     0.80    -1.40    -0.82     0.32     0.55    -0.92     0.73    -0.34     0.90    -0.43     0.89    -0.04     1.77    -1.73     0.59
        HE1351-1049       45      1.06    -1.15     0.78    -1.15     1.54     0.09     1.71    -1.08     2.53     1.39    -1.12     0.10     0.60     1.46    -0.72     1.58     0.07     1.95    -0.32     1.64     0.15     2.61    -1.55     1.40
        HE1413-1954       48      2.51     0.06     2.23     0.06     2.88     1.18     3.12     0.09     3.43     2.05     0.19     1.17     1.78     2.40     0.62     2.67     1.49     3.13     1.11     2.83     1.56     3.77    -0.22     2.49
        HE1419-1759       45      0.62    -1.86     0.39    -1.81     1.10    -0.63     1.24    -1.83     2.17     0.75    -1.84    -0.89    -0.02     0.56    -1.38     0.63    -0.70     0.90    -0.99     0.70    -0.52     1.66    -2.12     0.55
        HE1421-2006       49      1.58    -1.44     1.33    -1.41     2.17    -0.10     2.34    -1.26     2.95     0.99    -0.61    -0.21     1.15     1.20    -0.19     1.29     0.70     1.76     0.30     1.44     0.69     2.33    -0.88     1.25
        HE1430+0053       71      0.95    -1.69     0.57    -1.79     1.43    -0.46     1.50    -1.73     2.40     0.82    -1.43    -0.64     0.27     0.70    -1.04     0.81    -0.16     1.28    -0.56     0.97    -0.18     1.84    -1.76     0.76
        HE1430-0026       53      1.80    -1.09     1.48    -1.12     2.19     0.06     2.38    -1.08     2.93     1.12    -0.41     0.14     1.24     1.43    -0.00     1.62     0.78     1.99     0.47     1.76     0.85     2.63    -0.84     1.44
        HE1430-1123       43      1.99    -0.97     1.67    -1.01     2.40     0.18     2.59    -0.95     3.13     1.24    -0.28     0.19     1.37     1.48     0.05     1.59     0.93     2.05     0.52     1.73     0.99     2.69    -0.79     1.41
        HE1431-2142       53      1.99    -1.08     1.88    -0.92     2.57     0.25     2.77    -0.89     3.15     1.15    -0.25     0.10     1.38     1.38     0.18     1.60     1.05     2.07     0.65     1.75     1.03     2.62    -0.64     1.44
        HE1500-1628       45      0.93    -2.43     0.53    -2.55     1.41    -1.19     1.57    -2.37     2.43     0.14    -1.59    -1.52     0.18    -0.11    -1.15    -0.01    -0.27     0.46    -0.67     0.15    -0.29     1.01    -1.82    -0.01
        HE2133-1432       46      1.69    -1.96     1.42    -1.95     2.24    -0.66     2.34    -1.89     2.91     0.33    -0.56    -0.78     1.03     0.45    -0.23     0.62     0.72     1.17     0.32     0.85     0.76     1.77    -0.89     0.63
        HE2134+0001       37      1.24    -2.22     0.98    -2.20     1.66    -1.05     1.83    -2.21     2.64     0.26    -0.98    -1.01     0.66     0.27    -0.70     0.35     0.15     0.79    -0.12     0.60     0.23     1.44    -1.44     0.27
        HE2139-1851       83      0.48    -1.94     0.25    -1.89     1.05    -0.62     1.10    -1.90     2.03     0.68    -1.91    -0.90    -0.24     0.41    -1.61     0.47    -0.75     0.92    -1.05     0.70    -0.60     1.64    -2.31     0.43
        HE2143+0030       43      0.58    -2.67     0.09    -2.87     1.06    -1.43     1.16    -2.66     2.15    -0.02    -1.87    -1.68    -0.10    -0.28    -1.61    -0.35    -0.76     0.09    -1.03    -0.10    -0.69     0.73    -2.21    -0.29
        HE2145-3025       26      2.06    -0.92     1.84    -0.86     2.58     0.35     2.70    -0.86     3.16     1.25    -0.48    -0.03     1.09     1.18    -0.26     1.27     0.64     1.75     0.23     1.42     0.79     2.47    -0.98     1.20
        HE2150-0825       39      2.13    -1.56     1.77    -1.63     2.60    -0.34     2.71    -1.56     3.12     0.50    -0.24    -0.50     1.41     0.80     0.16     0.97     0.92     1.33     0.63     1.11     0.97     1.95    -0.59     0.88
        HE2151-2858       42      1.57    -1.72     1.38    -1.63     2.04    -0.50     2.22    -1.65     2.88     0.67    -0.39    -0.25     1.22     1.00    -0.09     1.13     0.90     1.70     0.38     1.26     0.82     2.20    -0.83     1.05
        HE2153-2719       73      0.48    -2.70     0.14    -2.76     0.97    -1.46     1.12    -2.65     2.10    -0.01    -1.82    -1.57    -0.14    -0.25    -1.51    -0.19    -0.64     0.26    -1.05    -0.06    -0.60     0.88    -2.14    -0.17
        HE2154-2838       44      1.25    -2.57     0.92    -2.61     1.71    -1.36     1.98    -2.42     2.71    -0.04    -0.87    -1.26     0.75     0.00    -0.49     0.19     0.28     0.55     0.01     0.36     0.34     1.18    -1.33     0.01
        HE2155+0136       37      1.45    -2.15     1.13    -2.19     1.83    -1.02     2.02    -2.16     2.81     0.28    -0.71    -0.89     0.86     0.33    -0.31     0.59     0.53     1.02     0.12     0.69     0.54     1.59    -1.18     0.38
        HE2156-3130       60      0.43    -2.11    -0.00    -2.26     0.87    -0.92     0.99    -2.13     2.01     0.54    -1.95    -1.06    -0.29     0.24    -1.73     0.23    -0.91     0.64    -1.22     0.41    -0.79     1.33    -2.44     0.18
        HE2158-3112       85      0.37    -2.56     0.03    -2.61     0.84    -1.33     1.08    -2.42     1.99     0.13    -1.97    -1.47    -0.20    -0.05    -1.58    -0.00    -0.71     0.45    -1.20     0.05    -0.67     1.06    -2.27    -0.03
        HE2200-2030       40      1.99    -1.68     1.79    -1.60     2.51    -0.41     2.59    -1.66     3.07     0.47    -0.29    -0.52     1.30     0.71    -0.07     0.76     0.87     1.29     0.42     0.92     0.94     1.93    -0.75     0.74
        HE2201-0637       43      0.79    -2.27     0.52    -2.26     1.32    -0.99     1.54    -2.10     2.38     0.39    -1.48    -1.11     0.20     0.21    -1.10     0.35    -0.35     0.68    -0.69     0.42    -0.16     1.45    -1.82     0.28
        HE2204-1703       36      1.03    -1.86     0.67    -1.93     1.38    -0.76     1.60    -1.86     2.43     0.62    -1.39    -0.84     0.26     0.45    -1.12     0.50    -0.21     0.99    -0.63     0.65    -0.21     1.57    -1.93     0.35
        HE2206-2245       45      1.06    -1.88     0.72    -1.93     1.51    -0.68     1.67    -1.85     2.53     0.66    -1.35    -0.86     0.45     0.58    -0.91     0.65    -0.08     1.07    -0.53     0.71    -0.07     1.65    -1.77     0.45
        HE2216-0621       42      0.56    -1.88     0.25    -1.91     0.98    -0.71     1.17    -1.85     2.11     0.74    -1.96    -0.97    -0.29     0.35    -1.63     0.43    -0.79     0.87    -1.22     0.51    -0.69     1.53    -2.31     0.41
        HE2216-1548       75      0.96    -3.02     0.63    -3.06     1.43    -1.79     1.59    -2.96     2.24    -0.66    -1.58    -2.12     0.08    -0.83    -1.26    -0.73    -0.42    -0.30    -0.79    -0.59    -0.34     0.35    -1.96    -0.78
        HE2217-0706       45      0.22    -2.89    -0.20    -3.03     0.69    -1.67     0.78    -2.91     1.97    -0.07    -2.20    -1.88    -0.41    -0.45    -1.93    -0.54    -0.99    -0.01    -1.45    -0.38    -0.92     0.63    -2.54    -0.49
        HE2217-1523       48      0.69    -2.37     0.39    -2.38     1.10    -1.20     1.23    -2.40     2.22     0.24    -1.74    -1.36    -0.05    -0.03    -1.45    -0.00    -0.52     0.52    -0.95     0.16    -0.51     1.10    -2.11    -0.00
        HE2219-0713       55      0.61    -2.14     0.12    -2.35     0.97    -1.04     1.17    -2.16     2.11     0.42    -1.90    -1.23    -0.22     0.09    -1.61     0.13    -0.75     0.59    -1.13     0.29    -0.59     1.32    -2.19     0.21
        HE2221-4150       53      1.78    -1.87     1.54    -1.82     2.37    -0.52     2.46    -1.76     2.90     0.32    -0.31    -0.53     1.27     0.70    -0.01     0.85     0.86     1.30     0.48     1.01     1.00     2.02    -0.78     0.74
        HE2222-4156       51      1.43    -1.51     1.23    -1.43     1.90    -0.29     2.08    -1.44     2.80     0.93    -0.81    -0.32     0.95     1.08    -0.36     1.20     0.53     1.68     0.13     1.36     0.47     2.19    -1.08     1.14
        HE2224+0143       88      0.88    -2.21     0.58    -2.23     1.28    -1.06     1.45    -2.22     2.25     0.23    -1.44    -1.10     0.27     0.25    -1.16     0.26    -0.30     0.70    -0.68     0.40    -0.17     1.40    -1.73     0.35
        HE2224-4103       49      0.87    -2.16     0.53    -2.21     1.44    -0.84     1.49    -2.12     2.45     0.49    -1.40    -1.00     0.25     0.29    -1.11     0.36    -0.21     0.85    -0.56     0.59    -0.06     1.57    -1.77     0.37
        HE2226-4102       49      0.96    -1.85     0.65    -1.87     1.55    -0.51     1.61    -1.77     2.51     0.78    -1.35    -0.72     0.45     0.72    -1.02     0.67    -0.05     1.24    -0.53     0.84     0.03     1.89    -1.63     0.73
        HE2227-4044       49      1.71    -1.64     1.57    -1.51     2.35    -0.26     2.45    -1.49     3.04     0.75    -0.40    -0.32     1.33     1.04    -0.06     1.09     0.82     1.55     0.43     1.25     0.99     2.29    -0.72     1.08
        HE2228-3806       50      0.96    -1.64     0.66    -1.67     1.45    -0.40     1.62    -1.56     2.54     1.01    -1.31    -0.48     0.51     0.98    -0.87     1.03     0.03     1.52    -0.48     1.09    -0.00     2.06    -1.71     0.85
        HE2229-4153       74      0.79    -2.26     0.51    -2.27     1.28    -1.02     1.43    -2.20     2.28     0.29    -1.48    -1.10     0.25     0.27    -1.09     0.36    -0.22     0.82    -0.72     0.40    -0.18     1.43    -1.82     0.28
        HE2231-0622       22      1.49    -2.06     1.17    -2.10     1.88    -0.92     2.06    -2.07     2.92     0.44    -0.70    -0.82     0.88     0.40    -0.30     0.65     0.53     1.07     0.02     0.64     0.45     1.56    -1.06     0.55
        HE2234-0521       34      1.34    -1.55     1.03    -1.58     1.81    -0.33     1.97    -1.50     2.68     0.86    -0.81    -0.27     0.80     0.97    -0.51     1.10     0.35     1.55    -0.05     1.23     0.47     2.24    -1.29     0.98
        HE2238-2152       48      1.33    -1.94     1.01    -1.97     1.78    -0.74     1.94    -1.91     2.60     0.41    -0.87    -0.70     0.76     0.56    -0.56     0.67     0.41     1.23    -0.09     0.82     0.37     1.76    -1.28     0.62
        HE2240-0412       30      2.00    -1.47     1.84    -1.35     2.49    -0.23     2.69    -1.36     3.25     0.85     0.01    -0.03     1.58     1.18     0.33     1.36     1.18     1.80     0.79     1.49     0.48     1.67    -0.28     1.41
        HE2242-1930       33      1.47    -1.99     1.14    -2.04     1.80    -0.91     2.09    -1.95     2.80     0.41    -0.74    -0.77     0.89     0.50    -0.44     0.60     0.40     1.03     0.04     0.75     0.47     1.67    -1.24     0.46
        HE2243-0151       41      2.30    -1.76     2.06    -1.72     2.66    -0.65     2.96    -1.67     3.30     0.31    -0.06    -0.69     1.60     0.61     0.37     0.81     1.21     1.24     0.75     0.86     1.26     1.86    -0.38     0.72
        HE2244-1503       46      0.93    -1.87     0.67    -1.84     1.56    -0.49     1.60    -1.77     2.48     0.76    -1.30    -0.66     0.47     0.74    -0.92     0.78    -0.34     0.95    -0.51     0.87     0.03     1.90    -1.67     0.70
        HE2247-3705       57      1.13    -2.27     0.89    -2.23     1.65    -0.99     1.83    -2.15     2.56     0.24    -1.05    -1.02     0.60     0.28    -0.75     0.35     0.20     0.89    -0.25     0.52     0.20     1.46    -1.42     0.35
        HE2248-3345       53      0.74    -2.19     0.57    -2.09     1.37    -0.81     1.42    -2.10     2.30     0.44    -1.54    -1.05     0.11     0.25    -1.30     0.27    -0.34     0.82    -0.79     0.44    -0.24     1.48    -1.89     0.34
        HE2250-2132       54      1.58    -1.87     1.39    -1.78     2.13    -0.57     2.24    -1.79     2.74     0.36    -0.58    -0.60     1.02     0.64    -0.24     0.80     0.61     1.25     0.21     0.93     0.63     1.84    -0.95     0.76
