     State    L_A 2S_A+1      n      l  E_j^X  E_lim    E_j   N_eq       Core    L_c 2S_c+1          G
      w5Fo      3      5      4      1  43963  85726  43963      1    Fe+.b4F      3      4      1.000
      y5So      0      5      4      1  44109  76531  44109      1    Fe+.a4P      1      4      1.000
       e5D      2      5      5      0  44650  63335  44650      1    Fe+.a6D      2      6      1.000
      x3Do      2      3      4      1  44904  84340  44904      1    Fe+.b4P      1      4      0.707
      x3Do      2      3      4      1  44904  89088  44904      1    Fe+.b2P      1      2     -0.707
      y3Go      4      3      4      1  45005  84378  45005      1    Fe+.a4H      5      4      0.707
      y3Go      4      3      4      1  45005  89172  45005      1    Fe+.b2H      5      2     -0.707
      x5Go      4      5      4      1  45366  85726  45366      1    Fe+.b4F      3      4      1.000
      z3Io      6      3      4      1  45636  84378  45636      1    Fe+.a4H      5      4      0.707
      z3Io      6      3      4      1  45636  89172  45636      1    Fe+.b2H      5      2     -0.707
      w5Po      1      5      4      1  45848  76531  45848      1    Fe+.a4P      1      4      1.000
      z3So      0      3      4      1  46198  84340  46198      1    Fe+.b4P      1      4      0.707
      z3So      0      3      4      1  46198  89088  46198      1    Fe+.b2P      1      2     -0.707
      y3Po      1      3      4      1  46376  84340  46376      1    Fe+.b4P      1      4      0.707
      y3Po      1      3      4      1  46376  89088  46376      1    Fe+.b2P      1      2     -0.707
      u5Do      2      5      4      1  46431  76531  46431      1    Fe+.a4P      1      4      1.000
      z3Ho      5      3      4      1  46622  84378  46622      1    Fe+.a4H      5      4      0.707
      z3Ho      5      3      4      1  46622  89172  46622      1    Fe+.b2H      5      2     -0.707
      x3Fo      3      3      4      1  46627  85726  46627      1    Fe+.b4F      3      4      0.707
      x3Fo      3      3      4      1  46627  90365  46627      1    Fe+.a2F      3      2     -0.707
      w3Do      2      3      4      1  46705  76531  46705      1    Fe+.a4P      1      4      1.000
       1Do      2      1      4      1  47017  89088  47017      1    Fe+.b2P      1      2      1.000
      z1Go      4      1      4      1  47050  78997  47050      1    Fe+.a2G      4      2      1.000
       e5F      3      5      5      0  47100  65335  47100      1    Fe+.a4F      3      4      1.000
      w5Go      4      5      4      1  47123  88669  47123      1    Fe+.a4G      4      4      1.000
      y3So      0      3      4      1  47153  76531  47153      1    Fe+.a4P      1      4      1.000
      x3Go      4      3      4      1  47424  85726  47424      1    Fe+.b4F      3      4      0.707
      x3Go      4      3      4      1  47424  90365  47424      1    Fe+.a2F      3      2     -0.707
      v5Fo      3      5      4      1  47544  88669  47544      1    Fe+.a4G      4      4      1.000
      v5Po      1      5      4      1  47694  86239  47694      1    Fe+.a6S      0      6      1.000
       1Io      6      1      4      1  47695  89172  47695      1    Fe+.b2H      5      2      1.000
      y5Ho      5      5      4      1  47778  88669  47778      1    Fe+.a4G      4      4      1.000
       e3F      3      3      5      0  47979  65335  47979      1    Fe+.a4F      3      4      1.000
      z1Ho      5      1      4      1  47980  78997  47980      1    Fe+.a2G      4      2      1.000
      x3Po      1      3      4      1  47989  76531  47989      1    Fe+.a4P      1      4      1.000
      y1Go      4      1      4      1  48300  89172  48300      1    Fe+.b2H      5      2      1.000
      v3Do      2      3      4      1  48800  85726  48800      1    Fe+.b4F      3      4      0.707
      v3Do      2      3      4      1  48800  90365  48800      1    Fe+.a2F      3      2     -0.707
      w3Fo      3      3      4      1  48828  78997  48828      1    Fe+.a2G      4      2      1.000
      x1Fo      3      1      4      1  49074  90365  49074      1    Fe+.a2F      3      2      1.000
      y3Ho      5      3      4      1  49168  78997  49168      1    Fe+.a2G      4      2      1.000
      v3Go      4      3      4      1  49215  78997  49215      1    Fe+.a2G      4      2      1.000
      n7Do      2      7      5      1  49255  63335  49255      1    Fe+.a6D      2      6      1.000
      w3Po      1      3      4      1  49710  81455  49710      1    Fe+.a2P      1      2      1.000
      n7Fo      3      7      5      1  49771  63335  49771      1    Fe+.a6D      2      6      1.000
      n7Po      1      7      5      1  50101  63335  50101      1    Fe+.a6D      2      6      1.000
      z1Fo      3      1      4      1  50182  78997  50182      1    Fe+.a2G      4      2      1.000
       f5D      2      5      4      2  50184  63335  50184      1    Fe+.a6D      2      6      1.000
       e7P      1      7      4      2  50209  63335  50209      1    Fe+.a6D      2      6      1.000
      x1Go      4      1      4      1  50211  90365  50211      1    Fe+.a2F      3      2      1.000
       f7D      2      7      4      2  50328  63335  50328      1    Fe+.a6D      2      6      1.000
       e5G      4      5      4      2  50458  63335  50458      1    Fe+.a6D      2      6      1.000
       e7F      3      7      4      2  50486  63335  50486      1    Fe+.a6D      2      6      1.000
       e7G      4      7      4      2  50716  63335  50716      1    Fe+.a6D      2      6      1.000
      x3Ho      5      3      4      1  50741  88669  50741      1    Fe+.a4G      4      4      0.707
      x3Ho      5      3      4      1  50741  93474  50741      1    Fe+.b2G      4      2     -0.707
       e5S      0      5      4      2  50746  63335  50746      1    Fe+.a6D      2      6      1.000
      v3Fo      3      3      4      1  50897  83752  50897      1   Fe+.a2D2      2      2      1.000
      t5Do      2      5      5      1  50989  63335  50989      1    Fe+.a6D      2      6      1.000
      u5Fo      3      5      5      1  51023  63335  51023      1    Fe+.a6D      2      6      1.000
       f5F      3      5      4      2  51034  63335  51034      1    Fe+.a6D      2      6      1.000
       e7S      0      7      4      2  51167  63335  51167      1    Fe+.a6D      2      6      1.000
      u3Go      4      3      4      1  51186  83471  51186      1    Fe+.a2H      5      2      1.000
       e3D      2      3      5      0  51189  71239  51189      1    Fe+.a4D      2      4      1.000
       1Ho      5      1      4      1  51227  89172  51227      1    Fe+.b2H      5      2      1.000
      y1Do      2      1      4      1  51305  81455  51305      1    Fe+.a2P      1      2      1.000
       g5D      2      5      5      0  51345  71239  51345      1    Fe+.a4D      2      4      1.000
      x1Do      2      1      4      1  51359  89172  51359      1    Fe+.b2H      5      2      1.000
      u5Po      1      5      5      1  51457  63335  51457      1    Fe+.a6D      2      6      1.000
       e5P      1      5      4      2  51548  63335  51548      1    Fe+.a6D      2      6      1.000
      u1Po      1      1      4      1  51778  81455  51778      1    Fe+.a2P      1      2      1.000
      u3Do      2      3      4      1  51784  81455  51784      1    Fe+.a2P      1      2      1.000
      t3Do      2      3      4      1  52096  83752  52096      1   Fe+.a2D2      2      2      1.000
      w3Ho      5      3      4      1  52181  83471  52181      1    Fe+.a2H      5      2      1.000
      y3Io      6      3      4      1  52274  83471  52274      1    Fe+.a2H      5      2      1.000
      v3Po      1      3      4      1  52631  83752  52631      1   Fe+.a2D2      2      2      1.000
       1Io      6      1      4      1  52691  83471  52691      1    Fe+.a2H      5      2      1.000
      x3Fo      3      3      4      1  52875  88669  52875      1    Fe+.a4G      4      4      0.707
      x3Fo      3      3      4      1  52875  93474  52875      1    Fe+.b2G      4      2     -0.707
      y1Ho      5      1      4      1  52910  93474  52910      1    Fe+.b2G      4      2      1.000
       f5P      1      5      4      2  53047  65335  53047      1    Fe+.a4F      3      4      1.000
       5Fo      3      5      5      1  53110  65335  53110      1    Fe+.a4F      3      4      1.000
       h5D      2      5      4      2  53157  65335  53157      1    Fe+.a4F      3      4      1.000
       g5F      3      5      4      2  53182  65335  53182      1    Fe+.a4F      3      4      1.000
       f5G      1      5      4      2  53202  65335  53202      1    Fe+.a4F      3      4      1.000
       3Go      4      3      5      1  53210  65335  53210      1    Fe+.a4F      3      4      1.000
       5Go      4      5      5      1  53247  65335  53247      1    Fe+.a4F      3      4      1.000
       e5H      5      5      4      2  53323  65335  53323      1    Fe+.a4F      3      4      1.000
      x1Fo      3      1      4      1  53360  83752  53360      1   Fe+.a2D2      2      2      1.000
      x3So      0      3      4      1  53405  81455  53405      1    Fe+.a2P      1      2      1.000
       5Fo      3      5      4      1  53452  94338  53452      1    Fe+.b4D      2      4      1.000
       3Fo      3      3      5      1  53573  65335  53573      1    Fe+.a4F      3      4      1.000
       5Do      2      5      5      1  53574  65335  53574      1    Fe+.a4F      3      4      1.000
       f3D      2      3      4      2  53591  65335  53591      1    Fe+.a4F      3      4      1.000
       e3G      4      3      4      2  53611  65335  53611      1    Fe+.a4F      3      4      1.000
       5Do      2      5      4      1  53657  94338  53657      1    Fe+.b4D      2      4      1.000
      t5Po      1      5      4      1  53691  94338  53691      1    Fe+.b4D      2      4      1.000
       e3H      5      3      4      2  53775  65335  53775      1    Fe+.a4F      3      4      1.000
       3Do      2      3      5      1  53797  65335  53797      1    Fe+.a4F      3      4      1.000
       g7D      2      7      6      0  53799  63335  53799      1    Fe+.a6D      2      6      1.000
      t3Go      4      3      4      1  53825  88669  53825      1    Fe+.a4G      4      4      0.707
      t3Go      4      3      4      1  53825  93474  53825      1    Fe+.b2G      4      2     -0.707
      w1Go      4      1      4      1  54408  93474  54408      1    Fe+.b2G      4      2      1.000
     6s.5D      2      5      6      0  54451  63335  54451      1    Fe+.a6D      2      6      1.000
       f3F      3      3      4      2  54593  65335  54593      1    Fe+.a4F      3      4      1.000
       e3P      1      3      4      2  54736  65335  54736      1    Fe+.a4F      3      4      1.000
      v3Ho      5      3      4      1  55087  96401  55087      1    Fe+.c2G      4      2      1.000
      s3Go      4      3      4      1  55279  96401  55279      1    Fe+.c2G      4      2      1.000
      w1Do      2      1      4      1  55351  83752  55351      1   Fe+.a2D2      2      2      1.000
       1Ho      5      1      4      1  55504  83471  55504      1    Fe+.a2H      5      2      1.000
       1Fo      3      1      4      1  55695  93474  55695      1    Fe+.b2G      4      2      1.000
     5d.5D      2      5      5      2  55965  63335  55965      1    Fe+.a6D      2      6      1.000
      u3Ho      5      3      4      1  55972  95810  55972      1    Fe+.a6D      2      6      1.000
       7Do      2      7      6      1  56112  63335  56112      1    Fe+.a6D      2      6      1.000
        5G      4      5      5      2  56266  63335  56266      1    Fe+.a6D      2      6      1.000
        7D      2      7      5      2  56270  63335  56270      1    Fe+.a6D      2      6      1.000
       7Fo      3      7      6      1  56276  63335  56276      1    Fe+.a6D      2      6      1.000
      u3Fo      3      3      4      1  56317  96401  56317      1    Fe+.c2G      4      2      1.000
        5S      0      5      5      2  56317  63335  56317      1    Fe+.a6D      2      6      1.000
       7Po      1      7      6      1  56409  63335  56409      1    Fe+.a6D      2      6      1.000
        7P      1      7      5      2  56420  63335  56420      1    Fe+.a6D      2      6      1.000
        5F      3      5      6      0  56436  65335  56436      1    Fe+.a4F      3      4      1.000
        7F      3      7      5      2  56492  63335  56492      1    Fe+.a6D      2      6      1.000
        5F      3      5      5      2  56500  63335  56500      1    Fe+.a6D      2      6      1.000
        7G      4      7      5      2  56596  63335  56596      1    Fe+.a6D      2      6      1.000
       5Do      2      5      6      1  56704  63335  56704      1    Fe+.a6D      2      6      1.000
       5Fo      3      5      6      1  56719  63335  56719      1    Fe+.a6D      2      6      1.000
   Fe+.a6D      2      6      0      0  63335      0  57252      0    Fe+.a6D      2      6      0.000
   Fe+.a4F      3      4      0      0  65335      0  59252      0    Fe+.a4F      3      4      0.000
   Fe+.a4D      2      4      0      0  71239      0  65156      0    Fe+.a4D      2      4      0.000
   Fe+.a4P      1      4      0      0  76531      0  70448      0    Fe+.a4P      1      4      0.000
   Fe+.a2G      4      2      0      0  78997      0  72914      0    Fe+.a2G      4      2      0.000
   Fe+.a2P      1      2      0      0  81455      0  75372      0    Fe+.a2P      1      2      0.000
   Fe+.a2H      5      2      0      0  83471      0  77388      0    Fe+.a2H      5      2      0.000
  Fe+.a2D2      2      2      0      0  83752      0  77669      0   Fe+.a2D2      2      2      0.000
   Fe+.b4P      1      4      0      0  84340      0  78257      0    Fe+.b4P      1      4      0.000
   Fe+.a4H      5      4      0      0  84378      0  78295      0    Fe+.a4H      5      4      0.000
   Fe+.b4F      3      4      0      0  85726      0  79643      0    Fe+.b4F      3      4      0.000
