3p^2^ ^3^P   0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
3p^2^ ^1^D   0.00E+00  0.00E+00  8.50E-12  3.94E-15  3.93E-16  1.28E-17  2.97E-18  1.04E-18  4.29E-19  1.62E-19  1.81E-27  9.13E-20  6.78E-20  5.03E-20  2.67E-28  2.59E-21  2.39E-21  5.95E-22  4.47E-22  2.92E-22  1.58E-22  1.43E-22  9.60E-23  7.81E-23  6.12E-23  8.00E-23  4.83E-20
3p^2^ ^1^S   0.00E+00  1.12E-09  0.00E+00  5.09E-14  5.78E-15  1.92E-23  0.00E+00  0.00E+00  4.93E-24  0.00E+00  2.22E-24  1.69E-24  1.34E-24  9.42E-25  3.30E-25  4.09E-26  3.97E-26  0.00E+00  5.43E-27  2.80E-27  0.00E+00  1.58E-27  0.00E+00  1.33E-27  0.00E+00  1.72E-27  2.76E-24
3p4s ^3^P    0.00E+00  3.83E-10  3.75E-11  0.00E+00  2.94E-10  2.69E-11  4.73E-12  1.58E-12  1.25E-12  2.28E-13  2.09E-13  2.56E-13  1.81E-13  1.28E-13  2.27E-14  6.35E-15  5.81E-15  8.94E-16  1.36E-15  1.13E-15  9.67E-16  1.59E-15  3.61E-16  1.21E-15  4.71E-16  1.30E-15  1.26E-13
3p4s ^1^P    0.00E+00  1.72E-10  1.92E-11  1.32E-09  0.00E+00  8.04E-10  9.32E-11  2.71E-11  2.99E-11  3.47E-12  5.88E-12  5.24E-12  3.48E-12  2.41E-12  5.47E-13  1.18E-13  1.07E-13  1.31E-14  2.67E-14  2.27E-14  1.53E-14  3.39E-14  5.09E-15  2.71E-14  7.50E-15  3.01E-14  1.80E-12
3s3p^3^ ^3^D 0.00E+00  5.27E-12  6.02E-20  1.14E-10  7.58E-10  0.00E+00  4.48E-10  1.08E-10  1.87E-10  1.15E-11  3.76E-11  2.53E-11  1.56E-11  1.05E-11  2.83E-12  4.95E-13  4.41E-13  3.91E-14  1.17E-13  1.01E-13  5.13E-14  1.71E-13  1.48E-14  1.42E-13  2.57E-14  1.69E-13  5.95E-12
3p4p ^1^P    0.00E+00  1.25E-11  0.00E+00  2.05E-10  8.96E-10  4.57E-09  0.00E+00  3.40E-09  9.96E-10  2.78E-10  0.00E+00  1.30E-10  8.44E-11  5.94E-11  0.00E+00  2.91E-12  2.58E-12  8.32E-13  6.83E-13  6.06E-13  1.11E-12  7.88E-13  2.98E-13  6.19E-13  5.48E-13  4.08E-13  3.67E-11
3p3d ^1^D    0.00E+00  2.68E-12  0.00E+00  4.21E-11  1.60E-10  6.76E-10  2.09E-09  0.00E+00  2.08E-09  4.62E-10  0.00E+00  1.92E-10  1.17E-10  8.08E-11  0.00E+00  3.85E-12  3.36E-12  1.12E-12  9.17E-13  8.23E-13  1.52E-12  1.02E-12  3.76E-13  8.21E-13  7.31E-13  5.15E-13  4.00E-11
3p4p ^3^D    0.00E+00  4.95E-13  4.32E-20  1.49E-11  7.90E-11  5.25E-10  2.73E-10  9.29E-10  0.00E+00  6.27E-10  3.32E-10  3.62E-10  1.98E-10  1.29E-10  1.69E-11  5.77E-12  4.97E-12  1.11E-12  1.41E-12  1.26E-12  1.55E-12  1.85E-12  3.47E-13  1.52E-12  7.26E-13  1.47E-12  4.93E-11
3p4p ^3^P    0.00E+00  4.40E-13  0.00E+00  6.39E-12  2.16E-11  7.58E-11  1.80E-10  4.86E-10  1.48E-09  0.00E+00  0.00E+00  1.22E-09  5.76E-10  3.64E-10  0.00E+00  1.51E-11  1.27E-11  4.56E-12  3.67E-12  3.38E-12  6.58E-12  3.75E-12  1.29E-12  3.24E-12  2.97E-12  1.78E-12  1.06E-10
