3p4p ^1^S    0.00E+00  7.64E-20  7.71E-19  1.79E-11  8.40E-11  4.26E-10  0.00E+00  0.00E+00  8.59E-10  0.00E+00  1.12E-09  1.69E-09  2.79E-09  4.54E-09  0.00E+00  4.40E-10  3.71E-10  0.00E+00  1.01E-10  8.23E-11  0.00E+00  2.41E-10  0.00E+00  1.48E-10  0.00E+00  2.89E-10  5.04E-09
3p3d ^1^F    0.00E+00  3.78E-14  1.74E-20  1.02E-12  3.77E-12  1.56E-11  9.05E-12  1.84E-11  5.96E-11  6.38E-11  2.69E-11  1.31E-10  2.06E-10  3.18E-10  9.01E-11  0.00E+00  1.61E-10  2.08E-11  1.99E-11  1.53E-11  2.80E-11  2.20E-11  2.25E-12  1.40E-11  7.34E-12  3.18E-11  7.20E-10
3p3d ^1^P    0.00E+00  8.53E-14  4.04E-20  2.29E-12  8.37E-12  3.43E-11  1.98E-11  3.97E-11  1.27E-10  1.33E-10  5.69E-11  2.71E-10  4.19E-10  6.33E-10  1.78E-10  3.77E-10  0.00E+00  5.13E-11  4.70E-11  3.59E-11  6.67E-11  5.31E-11  5.28E-12  3.33E-11  1.73E-11  7.46E-11  1.71E-09
3p3d ^3^D    0.00E+00  4.25E-15  0.00E+00  6.75E-14  2.04E-13  6.22E-13  1.24E-12  2.61E-12  5.66E-12  9.69E-12  0.00E+00  1.42E-11  2.27E-11  3.59E-11  0.00E+00  1.16E-11  1.22E-11  0.00E+00  4.39E-12  1.87E-12  3.63E-12  9.67E-13  2.32E-13  8.04E-13  8.18E-13  4.47E-13  5.82E-11
3p5s ^3^P    0.00E+00  5.21E-15  1.68E-21  1.61E-13  6.53E-13  2.92E-12  1.68E-12  3.57E-12  1.21E-11  1.33E-11  5.68E-12  2.79E-11  4.45E-11  6.90E-11  2.00E-11  1.92E-11  1.94E-11  7.63E-12  0.00E+00  4.49E-12  4.06E-12  3.20E-12  2.36E-13  1.78E-12  8.95E-13  2.66E-11  9.79E-11
3p5s ^1^P    0.00E+00  9.60E-15  1.81E-21  3.76E-13  1.64E-12  7.69E-12  4.52E-12  9.93E-12  3.40E-11  3.90E-11  1.56E-11  8.14E-11  1.32E-10  2.08E-10  5.36E-11  4.87E-11  4.88E-11  1.07E-11  1.48E-11  0.00E+00  4.66E-12  3.47E-12  2.55E-13  1.79E-12  9.00E-13  5.98E-11  1.05E-10
3p4d ^1^D    0.00E+00  4.78E-15  0.00E+00  3.04E-13  1.07E-12  3.83E-12  8.17E-12  1.82E-11  4.16E-11  7.55E-11  0.00E+00  1.12E-10  1.82E-10  2.93E-10  0.00E+00  7.47E-11  7.59E-11  1.74E-11  1.12E-11  3.91E-12  0.00E+00  1.59E-15  3.81E-16  4.46E-16  3.86E-16  2.26E-16  3.86E-14
3p4d ^3^P    0.00E+00  2.56E-15  2.16E-22  2.97E-13  1.41E-12  7.62E-12  3.44E-12  7.28E-12  2.96E-11  2.56E-11  1.89E-11  6.40E-11  1.01E-10  1.53E-10  7.61E-11  3.39E-11  3.50E-11  2.68E-12  5.10E-12  1.68E-12  9.20E-16  0.00E+00  1.11E-16  1.70E-16  5.14E-17  7.10E-11  7.51E-15
3p5p ^1^P    0.00E+00  5.32E-15  0.00E+00  2.09E-13  6.57E-13  2.03E-12  4.01E-12  8.27E-12  1.72E-11  2.72E-11  0.00E+00  3.68E-11  5.50E-11  7.80E-11  0.00E+00  1.06E-11  1.06E-11  1.96E-12  1.15E-12  3.78E-13  6.73E-16  3.40E-16  0.00E+00  1.50E-16  8.21E-17  3.99E-17  8.18E-15
3p5p ^3^D    0.00E+00  9.71E-16  1.26E-22  1.56E-13  7.77E-13  4.35E-12  1.86E-12  4.01E-12  1.68E-11  1.51E-11  1.02E-11  3.63E-11  5.66E-11  8.40E-11  3.04E-11  1.41E-11  1.43E-11  1.45E-12  1.85E-12  5.67E-13  1.68E-16  1.10E-16  3.21E-17  0.00E+00  1.49E-18  9.74E-12  1.14E-16
3p5p ^3^P    0.00E+00  1.41E-15  0.00E+00  1.13E-13  3.99E-13  1.46E-12  3.04E-12  6.61E-12  1.48E-11  2.57E-11  0.00E+00  3.64E-11  5.63E-11  8.40E-11  0.00E+00  1.31E-11  1.32E-11  2.62E-12  1.65E-12  5.05E-13  2.58E-16  5.94E-17  3.11E-17  2.64E-18  0.00E+00  2.64E-13  2.66E-18
3p4d ^3^F    0.00E+00  8.19E-16  1.33E-22  1.37E-13  7.06E-13  4.24E-12  1.01E-12  2.06E-12  1.33E-11  6.81E-12  1.20E-11  2.70E-11  4.25E-11  6.40E-11  4.60E-11  2.48E-11  2.48E-11  6.24E-13  2.14E-11  1.46E-11  6.59E-17  3.58E-11  6.60E-18  7.55E-12  1.15E-13  0.00E+00  4.69E-19
Si^+^+H^-^   0.00E+00  2.08E-11  2.81E-17  5.71E-10  1.65E-09  5.39E-09  3.23E-09  5.47E-09  1.47E-08  1.28E-08  5.63E-09  2.26E-08  3.02E-08  3.78E-08  8.86E-09  6.18E-09  6.25E-09  8.96E-10  8.68E-10  2.84E-10  1.24E-13  4.17E-14  1.49E-14  9.71E-16  1.28E-17  5.17E-18  0.00E+00
