
Collection of rates and branching fractions of atom-hydrogen collisions at low energies by Barklem and collegues
(Uppsala University) determined from the LCAO model.

The data set is limited to the Mutual Neutralization channel starting from ions in their ground state,
   A+ + H-  --->  A* + H + E_KER
where A* denotes the atom in a possibly excited state and E_KER is the kinetic energy release in the reaction.

Kinetic energy releases can be derived from the listed energy levels (which are LS-term averaged energies) through
   E_KER = E_i(A) - E_ea(H) + E_LS(A)
where E_i is the (first) ionization energy of atom A (should be between term-averaged levels), E_ea is the
electron affinity of hydrogen and E_LS the term-averaged excitation energy of atom A.

Note that these rates, and the derived branching fractions, asssume a Maxwellian velocity distribution
of the reactants.

References: see list under inelastic collisions at: https://github.com/barklem/public-data

Compiled by Jon Grumer, Uppsala University, 2020

  A+H                                         T = 1000 K                 T = 3000 K                 T = 7000 K
  ------- -------------  ------------    ------------------         ------------------         ------------------
  Li+H                        E[cm-1]    Rate[-1]     BF[%]         Rate[-1]     BF[%]         Rate[-1]     BF[%]
  Li+.1s2                         0.0
  ----->  4d.1Fo              83990.8    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  4d.1Po              84034.8    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  4d.3Po              84109.4    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  C+.2p.2Po              44.4    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00


  N+H                         E[cm-1]    Rate[-1]     BF[%]         Rate[-1]     BF[%]         Rate[-1]     BF[%]
  N+.2p2.3P                      88.9
  ----->  2p3.4So                 0.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  2p3.2Do             19227.9    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  2p3.2Po             28839.2    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  2p3.4So_H*          82259.1    2.280e-16     0.00         2.330e-16     0.00         5.140e-16     0.00
  ----->  3s.4P               83337.5    2.509e-14     0.00         2.758e-14     0.00         7.450e-14     0.00
  ----->  3s.2P               86195.6    2.803e-10     0.11         2.189e-10     0.14         2.523e-10     0.20
  ----->  2p4.4P              88130.9    9.050e-12     0.00         6.910e-12     0.00         7.430e-12     0.01
  ----->  3p.2So              93581.6    6.080e-10     0.25         4.400e-10     0.27         4.270e-10     0.34
  ----->  3p.4Do              94839.8    2.244e-09     0.91         1.667e-09     1.04         1.698e-09     1.34
  ----->  3p.4Po              95511.2    1.880e-09     0.76         1.430e-09     0.89         1.520e-09     1.20
  ----->  3p.4So              96750.8    6.550e-09     2.65         4.370e-09     2.72         3.650e-09     2.89
  ----->  3p.2Do              96834.4    4.580e-08    18.53         3.000e-08    18.70         2.417e-08    19.12
  ----->  3p.2Po              97795.1    4.520e-08    18.29         2.890e-08    18.02         2.240e-08    17.72
  ----->  3s.2D               99663.6    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  
  ----->  4s.4P              103696.6    3.950e-08    15.98         2.530e-08    15.77         1.944e-08    15.38
  ----->  4s.2P              104198.6    1.370e-08     5.54         8.800e-09     5.49         6.730e-09     5.32
  ----->  3d.2P              104627.0    1.827e-09     0.74         1.178e-09     0.73         9.050e-10     0.72
  ----->  3d.4F              104720.5    7.350e-09     2.97         4.740e-09     2.95         3.660e-09     2.90
  ----->  3d.4P              104845.4    4.230e-09     1.71         2.740e-09     1.71         2.125e-09     1.68
  ----->  3d.2F              104851.3    7.200e-08    29.14         4.680e-08    29.17         3.650e-08    28.87
  ----->  3d.4D              105007.9    3.860e-09     1.56         2.480e-09     1.55         1.900e-09     1.50
