  Li+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  ----->  4p.5P          12.276419     0.587441    8.920e-10     0.56


  Na+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Na+                     0.000000
  ----->  3p              2.104012     2.280870    2.060e-09     1.33
  ----->  4s              3.191336     1.193546    1.300e-07    84.12
  ----->  3d              3.616978     0.767904    1.800e-08    11.65
  ----->  4p              3.753002     0.631881    4.480e-09     2.90


  Mg+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Mg+.3s                  0.000000
  ----->  3p.1Po          4.345803     2.546238    7.910e-09     2.67
  ----->  4s.3S           5.107827     1.784214    3.760e-08    12.68
  ----->  4s.1S           5.393726     1.498315    5.080e-08    17.14
  ----->  3d.1D           5.753247     1.138794    2.940e-08     9.92
  ----->  4p.3Po          5.931900     0.960141    9.830e-08    33.16
  ----->  3d.3D           5.945910     0.946131    6.470e-08    21.83
  ----->  4p.1Po          6.118214     0.773826    7.710e-09     2.60


  Si+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Si+.2Po                 0.000000
  ----->  3p4s.3Po        4.920065     2.477424    2.800e-10     0.10
  ----->  3p4s.1Po        5.082346     2.315143    4.120e-09     1.54
  ----->  3p4p.1P         5.862476     1.535012    1.540e-08     5.75
  ----->  3p3d.1Do        5.870844     1.526644    1.290e-08     4.82
  ----->  3p4p.3D         5.953721     1.443767    4.850e-08    18.11
  ----->  3p4p.3P         6.078697     1.318791    4.340e-08    16.21
  ----->  3p4p.3S         6.124778     1.272710    1.500e-08     5.60
  ----->  3p3d.3Fo        6.180612     1.216876    5.160e-08    19.27
  ----->  3p4p.1D         6.222691     1.174797    3.790e-08    14.15
  ----->  3p3d.3Po        6.261078     1.136411    2.560e-08     9.56
  ----->  3p4p.1S         6.399074     0.998415    4.410e-09     1.65
  ----->  3p3d.1Fo        6.616074     0.781414    2.450e-09     0.92
  ----->  3p3d.1Po        6.619186     0.778303    1.035e-09     0.39
  ----->  3p3d.3Do        6.718083     0.679405    1.340e-09     0.50
  ----->  3p5s.3Po        6.725523     0.671966    3.520e-09     1.31
  ----->  3p5s.1Po        6.803140     0.594348    2.898e-10     0.11


  K+H                        E[eV]      KER[eV]     Rate[-1]    BF[%]
  K+                      0.000000
  ----->  4p              1.609935     1.976534    9.110e-09     6.60
  ----->  5s              2.606892     0.979577    6.880e-08    49.87
  ----->  3d              2.669876     0.916593    5.970e-08    43.27
  ----->  5p              3.062534     0.523935    3.530e-10     0.26


  Ca+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Ca+.4s                  0.000000
  ----->  4s2.1S          0.000000     5.358961    3.480e-10     0.19
  ----->  4s4p.3Po        1.879352     3.479608    1.500e-09     0.83
  ----->  3d4s.3D         2.521219     2.837742    9.010e-09     4.99
  ----->  3d4s.1D         2.709009     2.649951    1.910e-08    10.59
  ----->  4s4p.1Po        2.932512     2.426449    3.770e-08    20.89
  ----->  4s5s.3S         3.910399     1.448562    7.560e-08    41.90
  ----->  4s5s.1S         4.130814     1.228147    2.000e-08    11.08
  ----->  4s5p.3Po        4.531337     0.827624    1.170e-08     6.48
  ----->  4s5p.1Po        4.554140     0.804821    3.390e-09     1.88
  ----->  4s4d.1D         4.624398     0.734563    8.950e-10     0.50
  ----->  4s4d.3D         4.680180     0.678780    1.190e-09     0.66


  Ti+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Ti+.a4F                 0.000000
  ----->  y3Fo            3.105184     2.968741    4.612e-10     0.14
  ----->  y3Go            3.399275     2.674650    4.258e-09     1.29
  ----->  w3Do            3.668940     2.404985    7.650e-09     2.31
  ----->  e5F             4.458348     1.615577    4.059e-08    12.28
  ----->  e3F             4.646804     1.427121    4.871e-08    14.73
  ----->  e5G             5.164438     0.909487    5.610e-09     1.70
  ----->  5Go             5.169521     0.904404    7.136e-08    21.59
  ----->  g3F             5.181175     0.892749    1.236e-08     3.74
  ----->  3G              5.183035     0.890890    5.192e-08    15.71
  ----->  e5H             5.186259     0.887666    2.203e-08     6.66
  ----->  e5D             5.186631     0.887294    8.080e-09     2.44
  ----->  5Fo             5.187871     0.886054    3.202e-08     9.69
  ----->  3P              5.217007     0.856918    1.130e-09     0.34
  ----->  5Do             5.225686     0.848239    9.040e-09     2.73
  ----->  3H              5.228165     0.845759    9.230e-09     2.79
  ----->  e5P             5.274536     0.799389    1.227e-09     0.37
  ----->  3D              5.280239     0.793686    1.134e-09     0.34
  ----->  g5F             5.329461     0.744464    1.554e-09     0.47
  ----->  r3Fo            5.381162     0.692763    1.390e-09     0.42
  ----->  o3Do            5.443898     0.630027    3.696e-10     0.11
